Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2024,Josh Newton,Texas Christian,CB,70.75,190,9.25,31.13,,4.51,15,34.0,124,4.15,7.01,
2024,Bo Nix,Oregon,QB,73.88,214,10.00,31.00,,,,,,,,
2024,Maema Njongmeta,Wisconsin,ILB,71.63,229,9.38,32.13,,4.91,,,,4.66,,
2024,Hunter Nourzad,Penn State,C,74.75,317,10.75,33.13,,,,,,,,
2024,Tyler Nubin,Minnesota,FS,73.63,199,9.00,32.00,,,,,,,,
2024,Drake Nugent,Michigan,C,73.63,298,9.00,33.00,,5.23,,,,4.50,7.33,
2024,Rome Odunze,Washington,WR,74.75,212,9.25,32.25,,4.45,,39.0,124,4.03,6.88,
2024,Eyabi Okie-Anoma,North Carolina Charlotte,DE,76.63,260,9.50,33.50,,,,,,,,
2024,Kitan Oladapo,Oregon State,SS,74.13,216,9.25,32.38,,4.58,15,36.0,117,,,
2024,Ruke Orhorhoro,Clemson,DT,76.00,294,9.38,34.00,,4.89,29,32.0,116,,,
2024,Tyler Owens,Texas Tech,SS,74.13,216,9.13,33.38,,,,41.0,146,,,
2024,Patrick Paul,Houston,OT,79.63,331,9.38,36.25,,5.13,,,,,7.65,
2024,Julian Pearl,Illinois,OT,77.75,312,10.25,35.13,,,,,,,,
2024,Ricky Pearsall,Florida,WR,72.88,189,9.25,30.88,,4.41,17,42.0,129,4.05,6.64,
2024,Michael Penix,Washington,QB,74.25,216,10.50,33.63,,,,,,,,
2024,Andru Phillips,Kentucky,CB,70.50,190,8.75,31.25,,4.48,,42.0,135,,,
2024,Prince Pines,Tulane (LA),OG,76.63,322,9.13,32.88,,5.34,,,,,,
2024,JaLynn Polk,Washington,WR,73.00,203,9.75,31.75,,4.52,,37.5,129,,,
2024,Jackson Powers-Johnson,Oregon,C,75.25,328,9.88,32.25,,,,,,,,
2024,Michael Pratt,Tulane (LA),QB,74.63,217,9.25,30.75,,,,36.0,114,,,
2024,Deantre Prince,Mississippi,CB,72.25,183,8.50,30.75,,4.38,,34.5,125,,,
2024,Nehemiah Pritchett,Auburn,CB,72.13,190,8.38,31.63,,4.36,,34.5,,,,
2024,Josh Proctor,Ohio State,FS,73.50,199,8.75,32.00,,4.55,,32.5,121,,,
2024,Dominick Puni,Kansas,OG,76.75,313,10.13,33.38,,5.35,,,,4.40,7.47,
2024,Ennis Rakestraw,Missouri,CB,71.13,183,8.50,32.00,,4.51,,,120,,,
2024,Keith Randolph,Illinois,DT,75.63,296,9.88,32.75,,5.15,,28.5,105,,,
2024,Spencer Rattler,South Carolina,QB,72.13,211,9.88,31.00,,4.95,,32.0,108,,,
2024,Andrew Raym,Oklahoma,C,75.75,314,10.00,32.50,,5.42,,,,,,
2024,Austin Reed,Western Kentucky,QB,82.63,220,9.88,30.13,,4.82,,,,,,
2024,Tip Reiman,Illinois,TE,76.75,271,10.50,32.88,,4.64,28,33.5,121,4.26,7.02,
2024,Brenden Rice,Southern California,WR,74.13,208,9.63,33.00,,4.50,13,36.5,119,,,
2024,Decamerion Richardson,Mississippi State,CB,74.13,188,8.88,32.38,,4.34,,35.0,128,,,
2024,Demani Richardson,Texas A&M,SS,72.63,214,9.88,32.00,,4.60,,31.0,116,,,
2024,Chop Robinson,Penn State,DE,74.75,254,9.13,32.50,,4.48,,34.5,128,4.25,,
2024,Darius Robinson,Missouri,DT,77.00,285,10.63,34.50,,4.95,,35.0,111,,,
2024,Keilan Robinson,Texas,RB,68.38,191,9.63,30.63,,4.42,,33.0,125,,,
2024,Layden Robinson,Texas A&M,OG,75.63,302,10.50,34.63,,,,,,,,
2024,Tayvion Robinson,Kentucky,WR,70.63,191,9.25,31.00,,,,,,,,
2024,Justin Rogers,Auburn,DT,74.63,330,10.13,33.00,,,21,24.5,99,4.87,,
2024,Christian Roland-Wallace,Southern California,CB,71.63,201,9.00,32.50,,,17,,,,,
2024,Marcus Rosemy-Jacksaint,Georgia,WR,73.00,195,10.00,33.00,,,,35.0,119,,,
2024,Roger Rosengarten,Washington,OT,77.13,308,9.38,33.13,,4.92,,,,4.60,,
2024,Walter Rouse,Oklahoma,OT,77.50,313,10.13,35.13,,,,,,,,
2024,Mike Sainristil,Michigan,CB,69.25,182,8.50,30.88,,4.47,14,40.0,131,4.01,6.99,
2024,Andre Sam,Louisiana State,FS,71.25,191,9.25,30.00,,4.59,,36.0,123,,,
2024,Nick Samac,Michigan State,C,76.00,307,9.75,32.75,,,,,,,,
2024,JaTavion Sanders,Texas,TE,76.00,245,10.13,32.88,,4.69,,,,4.32,,
2024,Cody Schrader,Missouri,RB,68.63,202,9.13,28.13,,4.61,,33.0,,,,
2024,Will Shipley,Clemson,RB,71.25,206,9.63,30.25,,,,,,,,
